Despacho,Orden,Cliente,Distrito,Tecnico,Decos_Series,Repetidores_Series,Fecha_Despacho,Estado_Almacen
DESP-006230,ORD-007760,Fiorella Torres Castro,Chiclayo,Cuadrilla Pimentel / Costa - C-03,"DEC-768707, DEC-885741",,2024-06-27,Entregado a Tecnico
DESP-006231,ORD-007761,Ana Flores Perez,Jayanca,Cuadrilla Chiclayo Centro - C-01,"DEC-179555, DEC-696566","REP-274841, REP-938239",2024-06-27,Entregado a Tecnico
DESP-006232,ORD-007762,Carlos Rojas Castro,Pitipo,Cuadrilla Chiclayo Centro - C-01,DEC-178920,,2024-06-27,Entregado a Tecnico
DESP-006233,ORD-007763,Fiorella Garcia Torres,Pátapo,Cuadrilla La Victoria / JLO - C-02,DEC-298559,,2024-06-27,Entregado a Tecnico
DESP-006234,ORD-007764,Jose Diaz Rojas,Pátapo,Cuadrilla La Victoria / JLO - C-02,DEC-542125,REP-341058,2024-06-27,Entregado a Tecnico
DESP-006235,ORD-007765,Fernando Rodriguez Rodriguez,La Victoria,Cuadrilla Lambayeque Norte - C-04,"DEC-998256, DEC-614479, DEC-595717",,2024-06-28,Entregado a Tecnico
DESP-006236,ORD-007766,Sofia Torres Sanchez,La Victoria,Cuadrilla Chiclayo Centro - C-01,"DEC-275750, DEC-671978",,2024-06-28,Entregado a Tecnico
DESP-006237,ORD-007767,Maria Rodriguez Torres,Pomalca,Cuadrilla Ferreñafe - C-05,DEC-973484,"REP-470159, REP-308030",2024-06-27,Entregado a Tecnico
DESP-006238,ORD-007769,Katia Rojas Rojas,Túcume,Cuadrilla Lambayeque Norte - C-04,DEC-607560,REP-890170,2024-06-27,Entregado a Tecnico
DESP-006239,ORD-007770,Ana Rodriguez Vargas,Jayanca,Cuadrilla Pimentel / Costa - C-03,DEC-838514,REP-385484,2024-06-27,Entregado a Tecnico
DESP-006240,ORD-007771,Ana Romero Diaz,José Leonardo Ortiz,Cuadrilla Pimentel / Costa - C-03,"DEC-340569, DEC-401648, DEC-216647",REP-933205,2024-06-27,Entregado a Tecnico
DESP-006241,ORD-007772,Jorge Lopez Lopez,La Victoria,Cuadrilla Pimentel / Costa - C-03,DEC-148531,,2024-06-28,Entregado a Tecnico
DESP-006242,ORD-007773,Christian Diaz Rojas,Motupe,Cuadrilla Pimentel / Costa - C-03,DEC-473689,"REP-282564, REP-672559",2024-06-27,Entregado a Tecnico
DESP-006243,ORD-007776,Katia Torres Torres,Olmos,Cuadrilla Lambayeque Norte - C-04,DEC-693352,REP-960139,2024-06-28,Entregado a Tecnico
DESP-006244,ORD-007777,Fiorella Lopez Perez,Reque,Cuadrilla La Victoria / JLO - C-02,DEC-992498,,2024-06-28,Entregado a Tecnico
DESP-006245,ORD-007778,Maria Lopez Torres,La Victoria,Cuadrilla La Victoria / JLO - C-02,"DEC-177820, DEC-935822, DEC-273302",,2024-06-28,Entregado a Tecnico
DESP-006246,ORD-007779,Rosa Perez Rodriguez,Monsefú,Cuadrilla Ferreñafe - C-05,DEC-966537,REP-465522,2024-06-28,Entregado a Tecnico
DESP-006247,ORD-007780,Katia Romero Vasquez,José Leonardo Ortiz,Cuadrilla La Victoria / JLO - C-02,DEC-176925,REP-851477,2024-06-29,Entregado a Tecnico
DESP-006248,ORD-007782,Patricia Rojas Diaz,Pimentel,Cuadrilla Chiclayo Centro - C-01,"DEC-327785, DEC-214134",,2024-06-28,Entregado a Tecnico
DESP-006249,ORD-007783,Carmen Sanchez Gomez,Pomalca,Cuadrilla Lambayeque Norte - C-04,,,2024-06-28,Entregado a Tecnico
DESP-006250,ORD-007785,Jose Romero Lopez,José Leonardo Ortiz,Cuadrilla Ferreñafe - C-05,DEC-868306,,2024-06-28,Entregado a Tecnico
DESP-006251,ORD-007788,Manuel Martinez Romero,La Victoria,Cuadrilla Ferreñafe - C-05,DEC-427969,REP-555724,2024-06-28,Entregado a Tecnico
DESP-006252,ORD-007789,Ana Lopez Vargas,José Leonardo Ortiz,Cuadrilla Lambayeque Norte - C-04,DEC-446688,,2024-06-28,Entregado a Tecnico
DESP-006253,ORD-007790,Patricia Rojas Diaz,Monsefú,Cuadrilla La Victoria / JLO - C-02,DEC-205914,"REP-871422, REP-355111",2024-06-29,Entregado a Tecnico
DESP-006254,ORD-007791,Javier Rojas Martinez,Eten,Cuadrilla Pimentel / Costa - C-03,DEC-569680,,2024-06-30,Entregado a Tecnico
DESP-006255,ORD-007793,Pedro Sanchez Rodriguez,Motupe,Cuadrilla La Victoria / JLO - C-02,DEC-208536,,2024-06-29,Entregado a Tecnico
DESP-006256,ORD-007794,Carmen Vasquez Rojas,José Leonardo Ortiz,Cuadrilla La Victoria / JLO - C-02,"DEC-601439, DEC-376615","REP-983982, REP-709845",2024-06-29,Entregado a Tecnico
DESP-006257,ORD-007795,Jorge Garcia Castro,Motupe,Cuadrilla La Victoria / JLO - C-02,"DEC-552280, DEC-396352",,2024-06-29,Entregado a Tecnico
DESP-006258,ORD-007796,Ana Lopez Castro,Túcume,Cuadrilla Lambayeque Norte - C-04,"DEC-269899, DEC-349428",,2024-06-29,Entregado a Tecnico
DESP-006259,ORD-007797,Sofia Lopez Mendoza,José Leonardo Ortiz,Cuadrilla Chiclayo Centro - C-01,DEC-376127,,2024-06-29,Entregado a Tecnico
DESP-006260,ORD-007798,Sofia Lopez Vargas,Ferreñafe,Cuadrilla Chiclayo Centro - C-01,DEC-560847,REP-788928,2024-06-29,Entregado a Tecnico
DESP-006261,ORD-007799,Sofia Diaz Lopez,Ferreñafe,Cuadrilla La Victoria / JLO - C-02,,"REP-370578, REP-758682",2024-06-30,Entregado a Tecnico
DESP-006262,ORD-007801,Pedro Rodriguez Torres,Monsefú,Cuadrilla La Victoria / JLO - C-02,DEC-956731,REP-139679,2024-07-01,Entregado a Tecnico
DESP-006263,ORD-007802,Javier Rojas Vasquez,Íllimo,Cuadrilla Lambayeque Norte - C-04,DEC-446994,,2024-06-30,Entregado a Tecnico
DESP-006264,ORD-007804,Lucia Rojas Perez,Pimentel,Cuadrilla Chiclayo Centro - C-01,DEC-362527,REP-677388,2024-06-30,Entregado a Tecnico
DESP-006265,ORD-007805,Katia Rodriguez Romero,José Leonardo Ortiz,Cuadrilla Ferreñafe - C-05,,,2024-06-30,Entregado a Tecnico
DESP-006266,ORD-007806,Christian Flores Perez,Reque,Cuadrilla Lambayeque Norte - C-04,"DEC-934959, DEC-873793",REP-513906,2024-06-30,Entregado a Tecnico
DESP-006267,ORD-007807,Pedro Perez Vasquez,La Victoria,Cuadrilla Chiclayo Centro - C-01,"DEC-701565, DEC-729581, DEC-575713","REP-551110, REP-698435",2024-06-30,Entregado a Tecnico
DESP-006268,ORD-007808,Jorge Flores Martinez,Santa Rosa,Cuadrilla Pimentel / Costa - C-03,,,2024-06-30,Entregado a Tecnico
DESP-006269,ORD-007809,Manuel Castro Perez,Manuel Antonio Mesones Muro,Cuadrilla Chiclayo Centro - C-01,"DEC-777148, DEC-424147",,2024-07-01,Entregado a Tecnico
DESP-006270,ORD-007810,Fiorella Castro Rojas,Chiclayo,Cuadrilla Pimentel / Costa - C-03,DEC-882411,REP-105538,2024-06-30,Entregado a Tecnico
DESP-006271,ORD-007811,Maria Martinez Rojas,Pimentel,Cuadrilla Chiclayo Centro - C-01,DEC-209159,REP-153160,2024-06-30,Entregado a Tecnico
DESP-006272,ORD-007812,Javier Sanchez Perez,José Leonardo Ortiz,Cuadrilla Chiclayo Centro - C-01,DEC-812682,REP-187711,2024-07-01,Entregado a Tecnico
DESP-006273,ORD-007813,Manuel Flores Vasquez,La Victoria,Cuadrilla La Victoria / JLO - C-02,DEC-558130,,2024-07-01,Entregado a Tecnico
DESP-006274,ORD-007815,Pedro Perez Torres,Reque,Cuadrilla Ferreñafe - C-05,DEC-581498,REP-512926,2024-07-01,Entregado a Tecnico
DESP-006275,ORD-007816,Elena Diaz Martinez,La Victoria,Cuadrilla Lambayeque Norte - C-04,DEC-836538,REP-583415,2024-07-01,Entregado a Tecnico
DESP-006276,ORD-007817,Jorge Romero Castro,Eten,Cuadrilla La Victoria / JLO - C-02,DEC-874548,"REP-928912, REP-827064",2024-07-01,Entregado a Tecnico
DESP-006277,ORD-007818,Luis Rodriguez Diaz,Puerto Eten,Cuadrilla Ferreñafe - C-05,,"REP-527661, REP-920009",2024-07-01,Entregado a Tecnico
DESP-006278,ORD-007819,Luis Vasquez Sanchez,Pomalca,Cuadrilla Ferreñafe - C-05,DEC-707348,REP-132397,2024-07-02,Entregado a Tecnico
DESP-006279,ORD-007820,Patricia Perez Mendoza,Chiclayo,Cuadrilla La Victoria / JLO - C-02,DEC-643101,REP-798502,2024-07-01,Entregado a Tecnico
DESP-006280,ORD-007821,Diego Garcia Romero,Pomalca,Cuadrilla Ferreñafe - C-05,DEC-482654,REP-207110,2024-07-01,Entregado a Tecnico
DESP-006281,ORD-007822,Fiorella Mendoza Romero,Pátapo,Cuadrilla La Victoria / JLO - C-02,DEC-801485,,2024-07-02,Entregado a Tecnico
DESP-006282,ORD-007826,Christian Mendoza Castro,Olmos,Cuadrilla Lambayeque Norte - C-04,,,2024-07-01,Entregado a Tecnico
DESP-006283,ORD-007827,Javier Martinez Torres,Reque,Cuadrilla Pimentel / Costa - C-03,DEC-350611,REP-270000,2024-07-01,Entregado a Tecnico
DESP-006284,ORD-007828,Diego Flores Romero,Pomalca,Cuadrilla La Victoria / JLO - C-02,DEC-791047,REP-935744,2024-07-01,Entregado a Tecnico
DESP-006285,ORD-007829,Elena Diaz Flores,Pátapo,Cuadrilla Ferreñafe - C-05,DEC-667621,"REP-605254, REP-560290",2024-07-01,Entregado a Tecnico
DESP-006286,ORD-007830,Lucia Garcia Torres,José Leonardo Ortiz,Cuadrilla Chiclayo Centro - C-01,DEC-807099,,2024-07-02,Entregado a Tecnico
DESP-006287,ORD-007832,Javier Torres Rodriguez,Puerto Eten,Cuadrilla La Victoria / JLO - C-02,DEC-218827,REP-941935,2024-07-02,Entregado a Tecnico
DESP-006288,ORD-007833,Javier Garcia Torres,Reque,Cuadrilla La Victoria / JLO - C-02,DEC-341158,REP-844444,2024-07-02,Entregado a Tecnico
DESP-006289,ORD-007834,Ana Lopez Lopez,Olmos,Cuadrilla Chiclayo Centro - C-01,DEC-473811,"REP-880905, REP-314177",2024-07-02,Entregado a Tecnico
DESP-006290,ORD-007835,Fiorella Rojas Sanchez,Chiclayo,Cuadrilla Chiclayo Centro - C-01,,"REP-685643, REP-328563",2024-07-02,Entregado a Tecnico
DESP-006291,ORD-007839,Jorge Perez Romero,Pacora,Cuadrilla Pimentel / Costa - C-03,DEC-568770,REP-930909,2024-07-02,Entregado a Tecnico
DESP-006292,ORD-007840,Diego Torres Vargas,Pimentel,Cuadrilla Chiclayo Centro - C-01,,,2024-07-03,Entregado a Tecnico
DESP-006293,ORD-007841,Jose Castro Rodriguez,Pomalca,Cuadrilla Lambayeque Norte - C-04,,,2024-07-03,Entregado a Tecnico
DESP-006294,ORD-007843,Javier Mendoza Torres,Pimentel,Cuadrilla Lambayeque Norte - C-04,DEC-888253,,2024-07-03,Entregado a Tecnico
DESP-006295,ORD-007845,Diego Rodriguez Sanchez,Reque,Cuadrilla Lambayeque Norte - C-04,"DEC-569980, DEC-270643, DEC-930172",,2024-07-04,Entregado a Tecnico
DESP-006296,ORD-007846,Javier Garcia Vargas,Túcume,Cuadrilla Pimentel / Costa - C-03,"DEC-560658, DEC-631972",REP-682165,2024-07-03,Entregado a Tecnico
DESP-006297,ORD-007847,Elena Garcia Gomez,Ferreñafe,Cuadrilla Ferreñafe - C-05,DEC-849303,"REP-611881, REP-281752",2024-07-03,Entregado a Tecnico
DESP-006298,ORD-007848,Diego Flores Castro,Reque,Cuadrilla Lambayeque Norte - C-04,"DEC-885682, DEC-549838, DEC-202912",REP-866991,2024-07-03,Entregado a Tecnico
DESP-006299,ORD-007849,Jorge Romero Mendoza,Eten,Cuadrilla Lambayeque Norte - C-04,DEC-414697,,2024-07-03,Entregado a Tecnico
DESP-006300,ORD-007850,Lucia Sanchez Perez,José Leonardo Ortiz,Cuadrilla Lambayeque Norte - C-04,DEC-938262,,2024-07-03,Entregado a Tecnico
DESP-006301,ORD-007851,Javier Torres Romero,Manuel Antonio Mesones Muro,Cuadrilla Lambayeque Norte - C-04,"DEC-667952, DEC-127787",REP-771654,2024-07-03,Entregado a Tecnico
DESP-006302,ORD-007852,Carlos Romero Vargas,Eten,Cuadrilla Pimentel / Costa - C-03,DEC-762745,,2024-07-03,Entregado a Tecnico
DESP-006303,ORD-007853,Pedro Torres Vargas,Eten,Cuadrilla Ferreñafe - C-05,DEC-852485,,2024-07-03,Entregado a Tecnico
DESP-006304,ORD-007854,Christian Sanchez Castro,La Victoria,Cuadrilla Pimentel / Costa - C-03,,REP-682973,2024-07-03,Entregado a Tecnico
DESP-006305,ORD-007855,Diego Flores Mendoza,Reque,Cuadrilla Pimentel / Costa - C-03,,REP-754750,2024-07-03,Entregado a Tecnico
DESP-006306,ORD-007857,Elena Castro Garcia,Pátapo,Cuadrilla Chiclayo Centro - C-01,"DEC-984783, DEC-846660",,2024-07-03,Entregado a Tecnico
DESP-006307,ORD-007858,Lucia Romero Vargas,La Victoria,Cuadrilla Pimentel / Costa - C-03,"DEC-401371, DEC-528363, DEC-858805",,2024-07-04,Entregado a Tecnico
DESP-006308,ORD-007859,Luis Garcia Vasquez,Pueblo Nuevo,Cuadrilla Ferreñafe - C-05,DEC-742224,REP-795665,2024-07-04,Entregado a Tecnico
DESP-006309,ORD-007861,Diego Perez Diaz,Santa Rosa,Cuadrilla Pimentel / Costa - C-03,"DEC-775915, DEC-872317",,2024-07-04,Entregado a Tecnico
DESP-006310,ORD-007862,Lucia Lopez Flores,Pimentel,Cuadrilla Ferreñafe - C-05,"DEC-869697, DEC-655140",REP-884862,2024-07-04,Entregado a Tecnico
DESP-006311,ORD-007863,Ana Flores Flores,La Victoria,Cuadrilla Ferreñafe - C-05,"DEC-217885, DEC-767791","REP-882214, REP-839492",2024-07-04,Entregado a Tecnico
DESP-006312,ORD-007864,Luis Rodriguez Rodriguez,Reque,Cuadrilla Ferreñafe - C-05,DEC-900079,,2024-07-04,Entregado a Tecnico
DESP-006313,ORD-007865,Christian Vasquez Lopez,José Leonardo Ortiz,Cuadrilla Ferreñafe - C-05,"DEC-429944, DEC-731301",,2024-07-04,Entregado a Tecnico
DESP-006314,ORD-007866,Katia Romero Castro,Monsefú,Cuadrilla La Victoria / JLO - C-02,DEC-625396,REP-864963,2024-07-04,Entregado a Tecnico
DESP-006315,ORD-007867,Fiorella Garcia Torres,Manuel Antonio Mesones Muro,Cuadrilla Pimentel / Costa - C-03,"DEC-140738, DEC-470589",REP-583057,2024-07-04,Entregado a Tecnico
DESP-006316,ORD-007868,Fiorella Garcia Lopez,Chiclayo,Cuadrilla Lambayeque Norte - C-04,DEC-445546,REP-416955,2024-07-04,Entregado a Tecnico
DESP-006317,ORD-007869,Carlos Romero Martinez,Reque,Cuadrilla Ferreñafe - C-05,,REP-739865,2024-07-04,Entregado a Tecnico
DESP-006318,ORD-007870,Katia Martinez Torres,Pitipo,Cuadrilla La Victoria / JLO - C-02,"DEC-494741, DEC-224323",REP-901079,2024-07-05,Entregado a Tecnico
DESP-006319,ORD-007871,Diego Vargas Romero,Monsefú,Cuadrilla Chiclayo Centro - C-01,DEC-483544,"REP-645285, REP-627911",2024-07-06,Entregado a Tecnico
DESP-006320,ORD-007872,Lucia Romero Rodriguez,Reque,Cuadrilla La Victoria / JLO - C-02,"DEC-723996, DEC-245906",,2024-07-05,Entregado a Tecnico
DESP-006321,ORD-007873,Sofia Gomez Vargas,Lambayeque,Cuadrilla Ferreñafe - C-05,DEC-180874,,2024-07-05,Entregado a Tecnico
DESP-006322,ORD-007874,Rosa Sanchez Castro,Pimentel,Cuadrilla Pimentel / Costa - C-03,DEC-158176,REP-631954,2024-07-05,Entregado a Tecnico
DESP-006323,ORD-007875,Fernando Perez Gomez,Túcume,Cuadrilla Pimentel / Costa - C-03,DEC-833027,REP-757823,2024-07-06,Entregado a Tecnico
DESP-006324,ORD-007876,Katia Flores Garcia,Pomalca,Cuadrilla Lambayeque Norte - C-04,"DEC-607754, DEC-453435, DEC-571340",REP-565942,2024-07-05,Entregado a Tecnico
DESP-006325,ORD-007877,Diego Romero Gomez,Mochumí,Cuadrilla Lambayeque Norte - C-04,DEC-825867,"REP-474676, REP-372293",2024-07-05,Entregado a Tecnico
DESP-006326,ORD-007878,Katia Lopez Gomez,José Leonardo Ortiz,Cuadrilla Ferreñafe - C-05,"DEC-997061, DEC-387923",REP-628370,2024-07-05,Entregado a Tecnico
DESP-006327,ORD-007879,Jose Gomez Rodriguez,Eten,Cuadrilla Ferreñafe - C-05,DEC-205618,,2024-07-05,Entregado a Tecnico
DESP-006328,ORD-007881,Patricia Perez Diaz,Pátapo,Cuadrilla Lambayeque Norte - C-04,DEC-378847,REP-161151,2024-07-05,Entregado a Tecnico
DESP-006329,ORD-007882,Jose Sanchez Mendoza,Santa Rosa,Cuadrilla Ferreñafe - C-05,"DEC-407103, DEC-554533",,2024-07-05,Entregado a Tecnico
DESP-006330,ORD-007883,Katia Rojas Romero,Pimentel,Cuadrilla Pimentel / Costa - C-03,DEC-759888,,2024-07-05,Entregado a Tecnico
DESP-006331,ORD-007884,Jose Diaz Vargas,Pitipo,Cuadrilla Ferreñafe - C-05,"DEC-175216, DEC-182641","REP-158792, REP-645905",2024-07-05,Entregado a Tecnico
DESP-006332,ORD-007885,Pedro Lopez Vargas,Puerto Eten,Cuadrilla Chiclayo Centro - C-01,,"REP-197053, REP-513268",2024-07-05,Entregado a Tecnico
DESP-006333,ORD-007886,Rosa Rodriguez Flores,Túcume,Cuadrilla Ferreñafe - C-05,DEC-979481,REP-350922,2024-07-06,Entregado a Tecnico
DESP-006334,ORD-007887,Jorge Vargas Martinez,Pomalca,Cuadrilla La Victoria / JLO - C-02,DEC-231542,,2024-07-07,Entregado a Tecnico
DESP-006335,ORD-007888,Carmen Gomez Rodriguez,Lambayeque,Cuadrilla La Victoria / JLO - C-02,DEC-544207,REP-358724,2024-07-06,Entregado a Tecnico
DESP-006336,ORD-007889,Rosa Vasquez Rodriguez,Jayanca,Cuadrilla Ferreñafe - C-05,,,2024-07-06,Entregado a Tecnico
DESP-006337,ORD-007891,Christian Garcia Torres,Monsefú,Cuadrilla Lambayeque Norte - C-04,DEC-610070,,2024-07-06,Entregado a Tecnico
DESP-006338,ORD-007892,Katia Vargas Vargas,Ferreñafe,Cuadrilla Lambayeque Norte - C-04,DEC-265071,,2024-07-06,Entregado a Tecnico
DESP-006339,ORD-007893,Sofia Vasquez Flores,Pimentel,Cuadrilla Ferreñafe - C-05,DEC-418116,REP-999760,2024-07-06,Entregado a Tecnico
DESP-006340,ORD-007894,Jorge Torres Rodriguez,Túcume,Cuadrilla Lambayeque Norte - C-04,,,2024-07-07,Entregado a Tecnico
DESP-006341,ORD-007895,Pedro Lopez Lopez,Mochumí,Cuadrilla Chiclayo Centro - C-01,DEC-102734,"REP-914458, REP-963056",2024-07-07,Entregado a Tecnico
DESP-006342,ORD-007896,Jose Castro Romero,Santa Rosa,Cuadrilla Pimentel / Costa - C-03,DEC-654679,"REP-969633, REP-991201",2024-07-07,Entregado a Tecnico
DESP-006343,ORD-007897,Patricia Rojas Castro,La Victoria,Cuadrilla La Victoria / JLO - C-02,DEC-483810,REP-289034,2024-07-07,Entregado a Tecnico
DESP-006344,ORD-007898,Lucia Rodriguez Vargas,Olmos,Cuadrilla Ferreñafe - C-05,"DEC-865353, DEC-128062, DEC-245113",,2024-07-07,Entregado a Tecnico
DESP-006345,ORD-007899,Rosa Garcia Vasquez,Pacora,Cuadrilla La Victoria / JLO - C-02,,REP-367879,2024-07-07,Entregado a Tecnico
DESP-006346,ORD-007900,Fiorella Romero Torres,Pitipo,Cuadrilla Pimentel / Costa - C-03,"DEC-866825, DEC-289986",,2024-07-07,Entregado a Tecnico
DESP-006347,ORD-007901,Jose Romero Gomez,Pátapo,Cuadrilla Pimentel / Costa - C-03,DEC-870893,"REP-182372, REP-670079",2024-07-07,Entregado a Tecnico
DESP-006348,ORD-007902,Pedro Mendoza Romero,Motupe,Cuadrilla Pimentel / Costa - C-03,DEC-807208,,2024-07-07,Entregado a Tecnico
DESP-006349,ORD-007903,Manuel Lopez Torres,Jayanca,Cuadrilla Chiclayo Centro - C-01,"DEC-601426, DEC-995875, DEC-829873",REP-617758,2024-07-07,Entregado a Tecnico
DESP-006350,ORD-007904,Carmen Perez Rojas,Puerto Eten,Cuadrilla Lambayeque Norte - C-04,DEC-957061,,2024-07-07,Entregado a Tecnico
DESP-006351,ORD-007905,Jose Sanchez Mendoza,Íllimo,Cuadrilla Pimentel / Costa - C-03,DEC-273656,,2024-07-07,Entregado a Tecnico
DESP-006352,ORD-007906,Javier Sanchez Rojas,José Leonardo Ortiz,Cuadrilla Pimentel / Costa - C-03,"DEC-330334, DEC-970331",REP-964481,2024-07-09,Entregado a Tecnico
DESP-006353,ORD-007907,Ana Diaz Diaz,Pomalca,Cuadrilla Chiclayo Centro - C-01,DEC-288664,,2024-07-08,Entregado a Tecnico
DESP-006354,ORD-007910,Patricia Diaz Lopez,Mochumí,Cuadrilla Lambayeque Norte - C-04,DEC-267084,,2024-07-08,Entregado a Tecnico
DESP-006355,ORD-007911,Diego Vargas Rojas,Puerto Eten,Cuadrilla Pimentel / Costa - C-03,"DEC-817993, DEC-182350",REP-360928,2024-07-08,Entregado a Tecnico
DESP-006356,ORD-007913,Pedro Gomez Martinez,Olmos,Cuadrilla Lambayeque Norte - C-04,,,2024-07-08,Entregado a Tecnico
DESP-006357,ORD-007914,Maria Rodriguez Martinez,Reque,Cuadrilla Chiclayo Centro - C-01,DEC-327920,,2024-07-08,Entregado a Tecnico
DESP-006358,ORD-007917,Fernando Rodriguez Romero,Chiclayo,Cuadrilla La Victoria / JLO - C-02,"DEC-812613, DEC-415797",,2024-07-08,Entregado a Tecnico
DESP-006359,ORD-007918,Carmen Sanchez Gomez,Santa Rosa,Cuadrilla Lambayeque Norte - C-04,"DEC-476414, DEC-739226, DEC-204092",REP-248804,2024-07-08,Entregado a Tecnico
DESP-006360,ORD-007919,Diego Diaz Torres,Reque,Cuadrilla Ferreñafe - C-05,"DEC-618430, DEC-625332",,2024-07-09,Entregado a Tecnico
DESP-006361,ORD-007920,Luis Garcia Romero,José Leonardo Ortiz,Cuadrilla Ferreñafe - C-05,"DEC-230724, DEC-656247",REP-778318,2024-07-08,Entregado a Tecnico
DESP-006362,ORD-007921,Carlos Diaz Lopez,Pimentel,Cuadrilla Lambayeque Norte - C-04,DEC-420432,REP-408343,2024-07-09,Entregado a Tecnico
DESP-006363,ORD-007923,Sofia Rodriguez Romero,Chiclayo,Cuadrilla Ferreñafe - C-05,,,2024-07-09,Entregado a Tecnico
DESP-006364,ORD-007924,Sofia Castro Romero,Chiclayo,Cuadrilla Ferreñafe - C-05,DEC-567809,,2024-07-09,Entregado a Tecnico
DESP-006365,ORD-007925,Elena Rodriguez Vargas,Pomalca,Cuadrilla Chiclayo Centro - C-01,,REP-702916,2024-07-09,Entregado a Tecnico
DESP-006366,ORD-007926,Luis Lopez Romero,Monsefú,Cuadrilla Lambayeque Norte - C-04,"DEC-779758, DEC-292609","REP-904765, REP-839466",2024-07-09,Entregado a Tecnico
DESP-006367,ORD-007929,Rosa Diaz Vargas,Pacora,Cuadrilla Pimentel / Costa - C-03,DEC-425592,,2024-07-10,Entregado a Tecnico
DESP-006368,ORD-007930,Carlos Garcia Lopez,Íllimo,Cuadrilla Lambayeque Norte - C-04,"DEC-562610, DEC-495774",REP-442451,2024-07-10,Entregado a Tecnico
DESP-006369,ORD-007931,Fiorella Gomez Rojas,Reque,Cuadrilla La Victoria / JLO - C-02,DEC-402881,,2024-07-09,Entregado a Tecnico
DESP-006370,ORD-007933,Rosa Garcia Vasquez,Pimentel,Cuadrilla Pimentel / Costa - C-03,DEC-897640,REP-952463,2024-07-10,Entregado a Tecnico
DESP-006371,ORD-007935,Sofia Sanchez Vargas,La Victoria,Cuadrilla Ferreñafe - C-05,DEC-323345,REP-440547,2024-07-09,Entregado a Tecnico
DESP-006372,ORD-007936,Sofia Torres Mendoza,Santa Rosa,Cuadrilla Pimentel / Costa - C-03,DEC-682475,,2024-07-09,Entregado a Tecnico
DESP-006373,ORD-007937,Manuel Martinez Romero,Chiclayo,Cuadrilla Chiclayo Centro - C-01,,REP-962979,2024-07-09,Entregado a Tecnico
DESP-006374,ORD-007938,Ana Gomez Vargas,Motupe,Cuadrilla Pimentel / Costa - C-03,,REP-551144,2024-07-11,Entregado a Tecnico
DESP-006375,ORD-007939,Carmen Diaz Castro,Santa Rosa,Cuadrilla Lambayeque Norte - C-04,DEC-516080,REP-245795,2024-07-10,Entregado a Tecnico
DESP-006376,ORD-007940,Rosa Gomez Gomez,Pátapo,Cuadrilla Pimentel / Costa - C-03,DEC-334524,,2024-07-10,Entregado a Tecnico
DESP-006377,ORD-007941,Jorge Vasquez Vargas,Chiclayo,Cuadrilla La Victoria / JLO - C-02,DEC-476833,,2024-07-10,Entregado a Tecnico
DESP-006378,ORD-007942,Fiorella Romero Vasquez,Eten,Cuadrilla Ferreñafe - C-05,DEC-199177,,2024-07-10,Entregado a Tecnico
DESP-006379,ORD-007943,Fiorella Romero Romero,Chiclayo,Cuadrilla Pimentel / Costa - C-03,,,2024-07-10,Entregado a Tecnico
DESP-006380,ORD-007944,Elena Vargas Torres,Puerto Eten,Cuadrilla Chiclayo Centro - C-01,DEC-131110,,2024-07-10,Entregado a Tecnico
DESP-006381,ORD-007945,Ana Mendoza Sanchez,Ferreñafe,Cuadrilla Ferreñafe - C-05,DEC-791832,"REP-552090, REP-711255",2024-07-11,Entregado a Tecnico
DESP-006382,ORD-007946,Pedro Martinez Sanchez,La Victoria,Cuadrilla Ferreñafe - C-05,DEC-180150,REP-996655,2024-07-11,Entregado a Tecnico
DESP-006383,ORD-007947,Rosa Sanchez Garcia,Puerto Eten,Cuadrilla Pimentel / Costa - C-03,DEC-584442,REP-672869,2024-07-10,Entregado a Tecnico
DESP-006384,ORD-007949,Manuel Diaz Rodriguez,Eten,Cuadrilla Chiclayo Centro - C-01,,REP-526266,2024-07-10,Entregado a Tecnico
DESP-006385,ORD-007950,Fiorella Gomez Martinez,Túcume,Cuadrilla Ferreñafe - C-05,"DEC-247683, DEC-663485",REP-491199,2024-07-11,Entregado a Tecnico
DESP-006386,ORD-007951,Manuel Lopez Mendoza,Chiclayo,Cuadrilla Ferreñafe - C-05,DEC-471578,REP-552030,2024-07-10,Entregado a Tecnico
DESP-006387,ORD-007952,Carlos Mendoza Rojas,Santa Rosa,Cuadrilla Ferreñafe - C-05,DEC-390511,,2024-07-10,Entregado a Tecnico
DESP-006388,ORD-007955,Luis Mendoza Gomez,Pueblo Nuevo,Cuadrilla Ferreñafe - C-05,,REP-473472,2024-07-10,Entregado a Tecnico
DESP-006389,ORD-007956,Pedro Diaz Gomez,La Victoria,Cuadrilla Lambayeque Norte - C-04,"DEC-963266, DEC-721189, DEC-775523",,2024-07-11,Entregado a Tecnico
DESP-006390,ORD-007957,Fernando Flores Torres,Eten,Cuadrilla Pimentel / Costa - C-03,DEC-486987,REP-893231,2024-07-11,Entregado a Tecnico
DESP-006391,ORD-007958,Fernando Rojas Sanchez,Olmos,Cuadrilla Ferreñafe - C-05,"DEC-531277, DEC-144300, DEC-941572",,2024-07-11,Entregado a Tecnico
DESP-006392,ORD-007959,Luis Martinez Lopez,Puerto Eten,Cuadrilla La Victoria / JLO - C-02,"DEC-622696, DEC-426787",,2024-07-11,Entregado a Tecnico
